Trial ,Well ,Dose ,Minute ,TD ,MV 
2,C1,2,13,252.787,4.34335
1,B5,2,20,251.87,4.48162
3,C2,2,22,251.595,4.52231
1,C3,2,24,250.777,4.6699
1,B6,2,16,250.576,4.35023
1,B4,2,15,250.553,4.74227
3,C5,2,2,250.4,4.23204
2,C1,2,22,250.329,4.39939
2,C1,2,5,249.357,4.19316
3,B6,2,10,249.263,4.35007
3,C3,2,7,249.079,4.52863
3,C2,2,1,248.315,4.42886
1,B4,2,22,247.781,4.89035
1,C3,2,23,247.372,4.62948
3,C1,2,2,246.944,4.17365
1,C4,2,10,246.826,4.34037
2,B5,2,2,245.919,4.1775
2,C1,2,24,245.451,4.17902
2,C5,2,14,245.139,4.17607
3,C1,2,5,245.086,4.19183
2,B5,2,5,244.314,4.10836
3,C4,2,16,244.046,4.45876
2,B5,2,3,243.996,4.14015
3,C5,2,4,243.951,4.20357
2,C1,2,23,243.433,4.14937
3,C2,2,3,243.371,4.14832
1,B5,2,13,241.411,4.28535
1,B4,2,14,240.405,4.36829
1,C1,2,13,239.659,4.09668
1,B5,2,24,238.878,4.39917
3,C1,2,4,238.272,4.10571
2,C1,2,1,237.549,4.16259
3,C2,2,5,237.205,4.05473
3,C2,2,21,237.161,4.0038
1,C1,2,22,236.611,4.51829
1,C3,2,20,236.079,4.01262
3,B3,2,4,235.882,4.1455
3,C1,2,12,235.524,3.98064
3,C1,2,3,235.48,4.0138
2,B5,2,11,234.81,4.06005
1,C1,2,20,234.756,4.22979
1,C1,2,5,233.718,4.08592
3,C5,2,18,233.671,3.9807
1,B4,2,11,233.289,4.38782
1,C3,2,25,232.643,4.4425
2,B5,2,14,232.125,4.03923
3,C4,2,25,232.051,3.88907
2,C5,2,23,231.789,3.98256
1,B2,2,10,230.727,3.97115
3,B3,2,5,230.582,3.98236
3,C1,2,25,230.272,3.86573
1,B4,2,23,229.88,4.51033
2,B5,2,23,229.77,4.04994
2,C5,2,3,229.637,3.87895
3,B4,2,14,229.539,3.86207
1,C1,2,23,229.254,4.03137
2,C3,2,8,229.245,3.89205
1,C4,2,23,229.123,4.54902
3,C1,2,23,229.12,3.85719
3,C1,2,13,229.04,3.85151
2,C5,2,15,228.529,3.90197
1,B6,2,20,228.061,3.95248
3,C5,2,15,227.987,3.8883
2,C5,2,5,227.98,3.84231
3,C5,2,17,227.505,3.9157
2,C2,2,24,227.08,3.85093
3,B3,2,14,226.532,3.81147
1,B2,2,15,226.472,4.13265
2,B5,2,6,226.382,3.86532
2,B6,2,2,225.955,3.85803
1,B5,2,19,225.93,4.00816
3,C4,2,23,225.798,3.80554
1,B5,2,1,225.72,3.86502
3,B6,2,21,225.671,3.81197
1,B4,2,24,225.548,4.33185
2,C1,2,12,225.39,3.88822
3,C5,2,7,224.946,4.08987
2,B5,2,24,224.718,3.89228
2,C5,2,2,224.193,3.78912
3,C4,2,24,224.182,3.75509
2,B4,2,23,223.755,3.80315
3,B6,2,22,223.635,4.10335
